x1, y1, x2, y2
416.3784, 234.63985, 444.59393, 254.78733
418.20448, 234.78086, 446.65741, 255.03549
420.13349, 235.74537, 448.58642, 255.51775
423.50926, 234.78086, 451.96219, 256
452.9267, 256, 424.95602, 236.22762
423.97222, 235.16667, 453.13889, 256.69444
426.05556, 231, 454.52778, 251.83333
427.44444, 234.47222, 455.91667, 253.91667
429.52778, 235.86111, 458.69444, 256.69444
431.61111, 233.08333, 460.08333, 254.61111
